No,Current distance,Vr Ori SSM,Speed,Mode SSM ori,Mode Collab,x,y,z,rx,ry,rz
63,1276.89,100,500,2,2,415.91,-387.59,252.771,-179.4031,-2.8389,10.0868
64,1081.47,0,150,2,3,415.912,-387.589,251.929,-179.4026,-2.8391,10.0879
65,1081.47,0,150,2,3,415.91,-387.591,219.651,-179.4032,-2.8383,10.0885
66,1081.47,0,150,2,3,415.91,-387.59,219.01,-179.4029,-2.8385,10.0886
67,1081.47,0,150,2,3,415.91,-387.588,218.209,-179.403,-2.8387,10.0899
68,1081.47,0,150,2,3,415.913,-387.59,217.569,-179.4029,-2.839,10.09
69,1081.47,0,150,2,3,415.912,-387.59,216.729,-179.4033,-2.8393,10.0889
70,1081.47,0,150,2,3,415.908,-387.59,215.929,-179.4028,-2.8378,10.0884
71,1081.47,0,150,2,3,415.91,-387.592,215.085,-179.4029,-2.8379,10.0894
72,1081.47,0,150,2,3,415.91,-387.591,214.247,-179.4036,-2.8383,10.0905
73,1081.47,0,150,2,3,415.911,-387.592,213.41,-179.4032,-2.8381,10.0894
74,1144.02,0,150,3,4,415.909,-387.591,212.605,-179.4028,-2.838,10.0885
75,1144.02,0,150,3,4,415.912,-387.592,195.801,-179.4033,-2.8384,10.0892
76,1144.02,0,150,3,4,415.912,-387.592,195.801,-179.4033,-2.8384,10.0892
77,1144.02,0,150,3,4,415.912,-387.592,195.801,-179.4033,-2.8384,10.0892
78,1317.88,0,150,3,4,415.912,-387.592,195.801,-179.4033,-2.8384,10.0892
79,1317.88,0,150,3,4,415.912,-387.592,195.801,-179.4033,-2.8384,10.0892
80,1173.62,100,500,2,2,415.912,-387.592,195.801,-179.4033,-2.8384,10.0892
81,1173.62,100,500,2,2,415.912,-387.594,175.204,-179.4036,-2.8384,10.0883
82,1173.62,100,500,2,2,415.911,-387.589,174.408,-179.4027,-2.8387,10.0892
83,1123.15,0,250,2,3,415.911,-387.591,173.561,-179.4029,-2.8382,10.0901
84,1123.15,0,250,2,3,415.912,-387.593,142.162,-179.4039,-2.8388,10.0883
85,1283.11,0,250,2,3,415.91,-387.59,141.323,-179.4031,-2.8385,10.0888
86,1283.11,0,250,2,3,415.916,-387.597,106.167,-179.4039,-2.8392,10.0878
87,1283.11,0,250,2,3,415.917,-387.597,105.57,-179.4047,-2.84,10.0874
88,1283.11,0,250,2,3,415.916,-387.596,104.523,-179.4042,-2.8397,10.088
89,1283.11,0,250,2,3,415.916,-387.597,103.726,-179.4045,-2.8394,10.0885
90,1283.11,0,250,2,3,415.917,-387.596,102.888,-179.4043,-2.8399,10.0882
91,1283.11,0,250,2,3,415.916,-387.596,102.085,-179.404,-2.8393,10.0886
92,1283.11,0,250,2,3,415.918,-387.597,101.212,-179.4046,-2.8402,10.0881
93,1283.11,0,250,2,3,415.914,-387.595,100.367,-179.4045,-2.8394,10.0883
94,1283.11,0,250,2,3,415.916,-387.597,99.725,-179.4039,-2.8392,10.0876
95,1283.11,0,250,2,3,415.916,-387.595,98.889,-179.4039,-2.8398,10.0873
96,1283.11,0,250,2,3,415.914,-387.595,98.046,-179.4039,-2.8391,10.0875
97,1283.11,0,250,2,3,415.914,-387.592,97.241,-179.4028,-2.8391,10.0874
98,1283.11,0,250,2,3,415.913,-387.594,96.406,-179.4036,-2.8388,10.0876
99,1283.11,0,250,2,3,415.916,-387.594,95.941,-179.4036,-2.8395,10.0879
100,1283.11,0,250,2,3,415.914,-387.594,95.802,-179.4037,-2.8391,10.0892
101,1283.11,0,250,2,3,415.914,-387.594,95.802,-179.4037,-2.8391,10.0892
102,1283.11,0,250,2,3,415.914,-387.594,95.802,-179.4037,-2.8391,10.0892
103,1283.11,0,250,2,3,415.916,-387.594,80.607,-179.403,-2.8392,10.0879
104,1283.11,0,250,2,3,415.914,-387.598,67.169,-179.4045,-2.8386,10.0889
105,1283.11,0,250,2,3,415.914,-387.595,51.562,-179.4037,-2.8387,10.0891
106,1215.29,0,250,2,3,415.915,-387.596,38.809,-179.4041,-2.8388,10.0902
107,1247.58,0,250,2,3,415.916,-387.596,4.368,-179.404,-2.8392,10.0892
108,1247.58,0,250,2,3,415.915,-387.596,-29.199,-179.4042,-2.8393,10.0885
109,1094.2,0,250,2,3,415.915,-387.596,-29.199,-179.4042,-2.8393,10.0885
110,1096.8,0,250,2,3,415.912,-387.591,-61.917,-179.4027,-2.8389,10.0875
111,1096.8,0,250,2,3,415.912,-387.593,-96.399,-179.403,-2.8385,10.0881
112,1096.8,0,250,2,3,415.911,-387.592,-97.202,-179.4025,-2.8386,10.0857
113,1096.8,0,250,2,3,415.912,-387.592,-98.039,-179.4026,-2.8385,10.0874
114,1096.8,0,250,2,3,415.915,-387.597,-98.875,-179.4037,-2.8389,10.087
115,1258.76,0,250,2,3,415.915,-387.595,-99.473,-179.4031,-2.839,10.0876
116,1194.54,0,250,2,3,415.913,-387.593,-152.075,-179.403,-2.8387,10.0879
117,1177.23,0,250,2,3,415.915,-387.594,-174.923,-179.4028,-2.8388,10.088
118,1211.75,0,250,2,3,415.911,-387.589,-140.447,-179.4026,-2.8382,10.0903
119,1211.75,0,250,2,3,415.916,-387.596,-106.2,-179.404,-2.8396,10.0882
120,1211.75,0,250,2,3,415.912,-387.59,-105.164,-179.4026,-2.8387,10.0885
121,1211.75,0,250,2,3,415.916,-387.596,-104.583,-179.4036,-2.839,10.0877
122,1211.75,0,250,2,3,415.914,-387.592,-104.2,-179.4031,-2.839,10.0895
123,1211.75,0,250,2,3,415.914,-387.594,-104.2,-179.403,-2.839,10.0873
124,1211.75,0,250,2,3,415.914,-387.592,-104.155,-179.4028,-2.8393,10.0876
125,1211.75,0,250,2,3,415.916,-387.595,-103.639,-179.4038,-2.8397,10.0877
126,1211.75,0,250,2,3,415.914,-387.594,-102.804,-179.4026,-2.8386,10.087
127,1211.75,0,250,2,3,415.915,-387.595,-102.006,-179.4031,-2.8389,10.0873
128,1211.75,0,250,2,3,415.915,-387.594,-101.162,-179.4035,-2.8394,10.0878
129,1211.75,0,250,2,3,415.917,-387.596,-100.36,-179.4036,-2.8394,10.0881
130,1211.75,0,250,2,3,415.914,-387.593,-99.528,-179.4028,-2.8391,10.0864
131,1211.75,0,250,2,3,415.916,-387.595,-98.88,-179.4028,-2.8392,10.086
132,1211.75,0,250,2,3,415.917,-387.598,-98.082,-179.4036,-2.8394,10.0862
133,1211.75,0,250,2,3,415.913,-387.592,-97.246,-179.4024,-2.8389,10.0867
134,1211.75,0,250,2,3,415.913,-387.594,-96.205,-179.4026,-2.8384,10.0868
135,1211.75,0,250,2,3,415.918,-387.598,-95.401,-179.4038,-2.8396,10.0861
136,1211.75,0,250,2,3,415.915,-387.595,-94.565,-179.4029,-2.8391,10.0866
137,1211.75,0,250,2,3,415.913,-387.594,-93.767,-179.4028,-2.8386,10.0867
138,1211.75,0,250,2,3,415.913,-387.594,-92.926,-179.4027,-2.8384,10.0872
139,1211.75,0,250,2,3,415.915,-387.596,-92.122,-179.403,-2.839,10.0865
140,1211.75,0,250,2,3,415.917,-387.597,-91.479,-179.404,-2.8393,10.0881
141,1211.75,0,250,2,3,415.917,-387.597,-90.681,-179.4038,-2.8394,10.0874
142,1211.75,0,250,2,3,415.913,-387.594,-90.045,-179.4029,-2.8386,10.0869
143,1211.75,0,250,2,3,415.916,-387.596,-89.042,-179.4037,-2.8393,10.087
144,1211.75,0,250,2,3,415.914,-387.595,-76.166,-179.4026,-2.8386,10.086
145,1211.75,0,250,2,3,415.914,-387.596,-75.567,-179.403,-2.8385,10.0863
146,1237.62,0,250,2,3,415.912,-387.592,-74.769,-179.4023,-2.8385,10.0867
147,1237.62,0,250,2,3,415.917,-387.597,-40.484,-179.4036,-2.8395,10.0874
148,1237.62,0,250,2,3,415.915,-387.597,-39.887,-179.4036,-2.839,10.0866
149,1237.62,0,250,2,3,415.912,-387.593,-39.25,-179.4032,-2.8385,10.0882
150,1237.62,0,250,2,3,415.914,-387.595,-38.406,-179.4031,-2.8387,10.0876
151,1237.62,0,250,2,3,415.916,-387.597,-38.004,-179.404,-2.8391,10.0883
152,1237.62,0,250,2,3,415.916,-387.598,-37.205,-179.4038,-2.8389,10.0874
153,1237.62,0,250,2,3,415.917,-387.596,-36.561,-179.4038,-2.8396,10.0882
154,1237.62,0,250,2,3,415.916,-387.596,-35.761,-179.4037,-2.8393,10.0873
155,1237.62,0,250,2,3,415.913,-387.593,-34.928,-179.4025,-2.8387,10.0866
156,1237.62,0,250,2,3,415.914,-387.594,-34.122,-179.4033,-2.8389,10.0878
157,1237.62,0,250,2,3,415.916,-387.597,-33.282,-179.4041,-2.8394,10.0872
158,1237.62,0,250,2,3,415.918,-387.596,-32.644,-179.4037,-2.8397,10.0879
159,1237.62,0,250,2,3,415.915,-387.596,-32.046,-179.403,-2.8386,10.0871
160,1237.62,0,250,2,3,415.914,-387.595,-31.205,-179.404,-2.8391,10.0885
161,1237.62,0,250,2,3,415.912,-387.592,-30.606,-179.4028,-2.8387,10.0868
162,1237.62,0,250,2,3,415.914,-387.594,-29.771,-179.4034,-2.8388,10.0882
163,1237.62,0,250,2,3,415.915,-387.594,-29.406,-179.4034,-2.8393,10.0878
164,1237.62,0,250,2,3,415.915,-387.596,-29.199,-179.4042,-2.8393,10.0885
165,1237.62,0,250,2,3,415.915,-387.596,-29.199,-179.4042,-2.8393,10.0885
166,1237.62,0,250,2,3,415.917,-387.597,-29.165,-179.4044,-2.8396,10.0888
167,1237.62,0,250,2,3,415.916,-387.596,-28.856,-179.4042,-2.8396,10.088
168,1237.62,0,250,2,3,415.916,-387.597,-28.043,-179.4047,-2.8395,10.0892
169,1237.62,0,250,2,3,415.917,-387.599,-27.202,-179.4048,-2.8394,10.0885
170,1237.62,0,250,2,3,415.915,-387.595,-26.405,-179.4043,-2.8395,10.0888
171,1237.62,0,250,2,3,415.915,-387.597,-25.76,-179.4041,-2.8389,10.0882
172,1237.62,0,250,2,3,415.915,-387.595,-24.963,-179.4038,-2.8391,10.0885
173,1237.62,0,250,2,3,415.918,-387.596,-24.322,-179.404,-2.8395,10.0892
174,1237.62,0,250,2,3,415.915,-387.596,-23.322,-179.4039,-2.8392,10.0881
175,1237.62,0,250,2,3,415.914,-387.595,-22.486,-179.4038,-2.8387,10.0894
