,Sensor,Real
1,1.008366538,1
2,1.142169765,1
3,1.104749089,1
4,1.026750298,1
5,0.935093073,1
6,0.981936229,1
7,0.852117977,1
8,0.9886139,1
9,0.881445733,1
10,1.02283069,1
11,1.190374309,1
12,1.219218242,1
13,1.030655037,1
14,0.958626281,1
15,0.963769079,1
16,1.00365617,1
17,0.9121815,1
18,0.897867102,1
19,0.916627838,1
20,0.900283319,1
21,0.91163581,1
22,0.893797174,1
23,0.908461742,1
24,0.937467118,1
25,0.938777281,1
26,0.912893659,1
27,0.85218534,1
28,0.879876998,1
29,0.912228963,1
30,0.867636768,1
31,0.855784449,1
32,0.863746752,1
33,0.872571003,1
34,0.866771079,1
35,0.901693226,1
36,0.900565159,1
37,0.929563952,1
38,0.964512583,1
39,0.953332744,1
40,0.93265129,1
41,0.924708118,1
42,0.94586226,1
43,0.930335032,1
44,0.923533239,1
45,0.917128233,1
46,0.913843893,1
47,0.945911098,1
48,0.898781367,1
49,0.893330319,1
50,0.971647776,1
51,1.033029299,1
52,0.957910944,1
53,0.976994427,1
54,0.964363847,1
55,0.992231652,1
56,0.921474057,1
57,0.957836967,1
58,0.937054955,1
59,0.959909988,1
60,0.941353247,1
61,0.917986555,1
62,0.932772052,1
63,0.933158575,1
64,0.913487463,1
65,0.895689945,1
66,0.891907625,1
67,0.922718709,1
68,0.888719057,1
69,0.940356228,1
70,0.940331921,1
71,0.953652173,1
72,0.928119533,1
73,0.948820492,1
74,0.997995145,1
75,1.005420609,1
76,0.974568158,1
77,0.970625986,1
78,0.956432249,1
79,0.9356014,1
80,0.955865884,1
81,0.945032316,1
82,0.931975247,1
83,0.939700106,1
84,0.969256588,1
85,0.938801556,1
86,0.928721159,1
87,0.932216647,1
88,0.909005918,1
89,0.88306298,1
90,0.876263742,1
91,0.884682634,1
92,0.890510038,1
93,0.893096965,1
94,0.889137467,1
95,0.888045287,1
96,0.888045287,1
97,0.906523752,1
98,0.899438223,1
99,0.907634147,1
100,0.892000861,1
101,0.898711012,1
102,0.898382749,1
103,0.927518213,1
104,0.923796885,1
105,0.931926973,1
106,0.923796885,1
107,0.867659559,1
108,0.873739374,1
109,0.87699922,1
110,0.880476541,1
111,0.891348378,1
112,0.894638008,1
113,0.923006126,1
114,0.91669931,1
115,0.902492959,1
116,0.896110999,1
117,0.883710553,1
118,0.873578934,1
