,Sensor,Real,,,data 1,,
1,1.008366538,1,,,-0.008366538,,
2,1.142169765,1,,,-0.142169765,,
3,1.104749089,1,,,-0.104749089,,
4,1.026750298,1,,,-0.026750298,,
5,0.935093073,1,,,0.064906927,,
6,0.981936229,1,,,0.018063771,,
7,0.852117977,1,,,0.147882023,,
8,0.9886139,1,,,0.0113861,,
9,0.881445733,1,,,0.118554267,,
10,1.02283069,1,,,-0.02283069,,
11,1.190374309,1,,,-0.190374309,,
12,1.219218242,1,,,-0.219218242,,
13,1.030655037,1,,,-0.030655037,,
14,0.958626281,1,,,0.041373719,,
15,0.963769079,1,,,0.036230921,,
16,1.00365617,1,,,-0.00365617,,
17,0.9121815,1,,,0.0878185,,
18,0.897867102,1,,,0.102132898,,
19,0.916627838,1,,,0.083372162,,
20,0.900283319,1,,,0.099716681,,
21,0.91163581,1,,,0.08836419,,
22,0.893797174,1,,,0.106202826,,
23,0.908461742,1,,,0.091538258,,
24,0.937467118,1,,,0.062532882,,
25,0.938777281,1,,,0.061222719,,
26,0.912893659,1,,,0.087106341,,
27,0.85218534,1,,,0.14781466,,
28,0.879876998,1,,,0.120123002,,
29,0.912228963,1,,,0.087771037,,
30,0.867636768,1,,,0.132363232,,
31,0.855784449,1,,,0.144215551,,
32,0.863746752,1,,,0.136253248,,
33,0.872571003,1,,,0.127428997,,
34,0.866771079,1,,,0.133228921,,
35,0.901693226,1,,,0.098306774,,
36,0.900565159,1,,,0.099434841,,
37,0.929563952,1,,,0.070436048,,
38,0.964512583,1,,,0.035487417,,
39,0.953332744,1,,,0.046667256,,
40,0.93265129,1,,,0.06734871,,
41,0.924708118,1,,,0.075291882,,
42,0.94586226,1,,,0.05413774,,
43,0.930335032,1,,,0.069664968,,
44,0.923533239,1,,,0.076466761,,
45,0.917128233,1,,,0.082871767,,
46,0.913843893,1,,,0.086156107,,
47,0.945911098,1,,,0.054088902,,
48,0.898781367,1,,,0.101218633,,
49,0.893330319,1,,,0.106669681,,
50,0.971647776,1,,,0.028352224,,
51,1.033029299,1,,,-0.033029299,,
52,0.957910944,1,,,0.042089056,,
53,0.976994427,1,,,0.023005573,,
54,0.964363847,1,,,0.035636153,,
55,0.992231652,1,,,0.007768348,,
56,0.921474057,1,,,0.078525943,,
57,0.957836967,1,,,0.042163033,,
58,0.937054955,1,,,0.062945045,,
59,0.959909988,1,,,0.040090012,,
60,0.941353247,1,,,0.058646753,,
61,0.917986555,1,,,0.082013445,,
62,0.932772052,1,,,0.067227948,,
63,0.933158575,1,,,0.066841425,,
64,0.913487463,1,,,0.086512537,,
65,0.895689945,1,,,0.104310055,,
66,0.891907625,1,,,0.108092375,,
67,0.922718709,1,,,0.077281291,,
68,0.888719057,1,,,0.111280943,,
69,0.940356228,1,,,0.059643772,,
70,0.940331921,1,,,0.059668079,,
71,0.953652173,1,,,0.046347827,,
72,0.928119533,1,,,0.071880467,,
73,0.948820492,1,,,0.051179508,,
74,0.997995145,1,,,0.002004855,,
75,1.005420609,1,,,-0.005420609,,
76,0.974568158,1,,,0.025431842,,
77,0.970625986,1,,,0.029374014,,
78,0.956432249,1,,,0.043567751,,
79,0.9356014,1,,,0.0643986,,
80,0.955865884,1,,,0.044134116,,
81,0.945032316,1,,,0.054967684,,
82,0.931975247,1,,,0.068024753,,
83,0.939700106,1,,,0.060299894,,
84,0.969256588,1,,,0.030743412,,
85,0.938801556,1,,,0.061198444,,
86,0.928721159,1,,,0.071278841,,
87,0.932216647,1,,,0.067783353,,
88,0.909005918,1,,,0.090994082,,
89,0.88306298,1,,,0.11693702,,
90,0.876263742,1,,,0.123736258,,
91,0.884682634,1,,,0.115317366,,
92,0.890510038,1,,,0.109489962,,
93,0.893096965,1,,,0.106903035,,
94,0.889137467,1,,,0.110862533,,
95,0.888045287,1,,,0.111954713,,
96,0.888045287,1,,,0.111954713,,
