no,velocity,,Real
1,0.082538316,,0
2,0.020955878,,0
3,-0.078109765,,0
4,-0.108573001,,0
5,-0.047292041,,0
6,-0.175886716,,0
7,-0.126656696,,0
8,-0.009384365,,0
9,0.059574043,,0
10,0.027045421,,0
11,0.042305977,,0
12,0.091855031,,0
13,-0.002006874,,0
14,0.001250248,,0
15,-0.08385818,,0
16,0.035587283,,0
17,-0.008559934,,0
18,0.000558849,,0
19,0.0255311,,0
20,0.003004911,,0
21,0.010975136,,0
22,-0.003821686,,0
23,-0.000694956,,0
24,0.021774787,,0
25,0.024577645,,0
26,0.006809216,,0
27,0.004332381,,0
28,-0.046518857,,0
29,0.053325039,,0
30,0.028683867,,0
31,0.015843046,,0
32,0.016006604,,0
33,-0.020732934,,0
34,-0.000765853,,0
35,0.003422735,,0
36,0.012307665,,0
37,-0.022839274,,0
38,-0.032567077,,0
39,0.018893747,,0
40,0.031233928,,0
41,-0.013155859,,0
42,-0.006442704,,0
43,-0.006009917,,0
44,0.000866085,,0
45,-0.007705943,,0
46,0.009305135,,0
47,-0.015052929,,0
48,0.004035752,,0
49,-0.001065459,,0
50,0.003802088,,0
51,-0.007756897,,0
52,-0.001869295,,0
53,0.040298547,,0
54,0.048869089,,0
55,-0.034188005,,0
56,-0.006796022,,0
57,0.006125451,,0
58,0.00852724,,0
59,-0.009955657,,0
60,-0.007943141,,0
61,0.008853845,,0
62,0.000983285,,0
63,0.000266188,,0
64,-0.000289946,,0
65,0.004518374,,0
66,-0.031102228,,0
67,-0.007241345,,0
68,0.006681841,,0
69,0.002947006,,0
70,0.039299696,,0
71,-0.012447035,,0
72,-0.014437329,,0
73,0.010534191,,0
74,-0.002962198,,0
75,0.001228642,,0
76,-0.023856954,,0
77,0.023397245,,0
78,0.028915548,,0
79,0.014331994,,0
80,-0.018080306,,0
81,0.017759108,,0
82,0.00129824,,0
83,-0.019402232,,0
84,-0.006961472,,0
85,0.025863103,,0
86,0.009716015,,0
87,-0.003486949,,0
88,-0.019878435,,0
89,-0.012799464,,0
90,-0.002716788,,0
91,-0.006727738,,0
92,0.024834172,,0
93,-0.03162432,,0
94,-0.02538908,,0
95,0.079209378,,0
96,0.051860128,,0
97,-0.004277479,,0
98,-0.021314882,,0
99,0.066880095,,0
100,-0.021365048,,0
101,-0.052787381,,0
102,-0.026304262,,0
103,0.025507007,,0
104,-0.002303891,,0
105,-0.017490951,,0
106,0.018001812,,0
107,-0.001935277,,0
108,-0.003704615,,0
109,-0.025976083,,0
110,0.006282331,,0
111,0.006012837,,0
112,0.000821441,,0
113,0.02796394,,0
114,-0.007780392,,0
115,-0.016576829,,0
116,0.006640471,,0
117,0.00359717,,0
118,-0.016305198,,0
119,0.013826256,,0
120,0.040476901,,0
121,-0.000499427,,0
122,0.031213031,,0
123,-0.004439331,,0
124,-0.020017057,,0
125,-0.001689836,,0
126,-0.013894943,,0
127,0.001852519,,0
128,-0.017192433,,0
129,0.014356847,,0
130,-0.024022352,,0
131,0.009363881,,0
132,-0.03931011,,0
133,-0.007879697,,0
134,0.00528107,,0
135,-0.001217002,,0
136,0.025115244,,0
137,0.005649188,,0
138,0.026423417,,0
139,-0.04079963,,0
140,-0.009395426,,0
141,-0.010675535,,0
142,-0.042541727,,0
143,0.01029851,,0
144,-0.012022767,,0
145,-0.040717834,,0
146,-0.018347969,,0
147,-4.11E-05,,0
148,0.005232051,,0
149,0.012166138,,0
150,0.041577696,,0
151,-0.006205806,,0
152,0.026863783,,0
153,-0.023223458,,0
154,0.010400137,,0
155,-0.025562232,,0
156,0.023506142,,0
157,-0.015262523,,0
158,0.0251412,,0
159,-0.026146179,,0
160,-0.021167419,,0
161,-0.001845866,,0
162,-0.002509919,,0
163,0.041952004,,0
164,-0.007566615,,0
165,0.148488333,,0
166,-0.105179192,,0
167,-0.012220007,,0
168,-0.128763544,,0
169,0.207827065,,0
