no,pixel,real,,,,error
1,435,50,,49.4882671826091,,-0.511732817390907
2,436,50,,49.1176773714019,,-0.882322628598104
3,426,50,,52.8090609746333,,2.80906097463331
4,427,50,,52.4413740651942,,2.44137406519424
5,433,50,,50.2284791711008,,0.228479171100815
6,425,50,,53.1764253394315,,3.17642533943149
7,410,50,,58.6481854544955,,8.6481854544955
8,424,50,,53.5434671595887,,3.54346715958874
9,434,50,,49.8585344491754,,-0.141465550824591
10,433,50,,50.2284791711008,,0.228479171100815
11,434,50,,49.8585344491754,,-0.141465550824591
12,438,50,,48.3755301150648,,-1.62446988493522
13,440,50,,47.632092680164,,-2.36790731983598
14,441,50,,47.2598901457523,,-2.74010985424772
15,273,95,,105.265259704319,,10.265259704319
16,275,95,,104.628262000917,,9.62826200091658
17,274,95,,104.946922124938,,9.94692212493823
18,272,95,,105.583274739059,,10.5832747390588
19,273,95,,105.265259704319,,10.265259704319
20,274,95,,104.946922124938,,9.94692212493823
21,270,95,,106.218337174616,,11.2183371746157
22,274,95,,104.946922124938,,9.94692212493823
23,274,95,,104.946922124938,,9.94692212493823
24,278,95,,103.670346361006,,8.67034636100627
25,275,95,,104.628262000917,,9.62826200091658
26,278,95,,103.670346361006,,8.67034636100627
27,275,95,,104.628262000917,,9.62826200091658
28,275,95,,104.628262000917,,9.62826200091658
29,243,114,,114.66540382772,,0.665403827720354
30,245,114,,114.047758802772,,0.047758802772236
31,247,114,,113.428823599261,,-0.571176400739489
32,247,114,,113.428823599261,,-0.571176400739489
33,246,114,,113.738452473337,,-0.261547526663165
34,248,114,,113.118872180543,,-0.881127819456708
35,248,114,,113.118872180543,,-0.881127819456708
36,246,114,,113.738452473337,,-0.261547526663165
37,245,114,,114.047758802772,,0.047758802772236
38,250,114,,112.498001709186,,-1.50199829081386
39,248,114,,113.118872180543,,-0.881127819456708
40,250,114,,112.498001709186,,-1.50199829081386
41,250,114,,112.498001709186,,-1.50199829081386
42,250,114,,112.498001709186,,-1.50199829081386
43,229,114,,118.952794002576,,4.95279400257584
44,227,114,,119.560117599015,,5.56011759901502
45,223,114,,120.770894256203,,6.77089425620252
46,219,114,,121.976510199136,,7.97651019913556
47,216,114,,122.877335437606,,8.87733543760584
48,219,114,,121.976510199136,,7.97651019913556
49,213,114,,123.775257774308,,9.77525777430797
50,222,114,,121.072782058897,,7.07278205889713
51,224,114,,120.468683908867,,6.46868390886701
52,218,114,,122.277107823267,,8.27710782326655
53,219,114,,121.976510199136,,7.97651019913556
54,226,114,,119.863295580273,,5.86329558027325
55,229,114,,118.952794002576,,4.95279400257584
56,222,114,,121.072782058897,,7.07278205889713
57,222,114,,121.072782058897,,7.07278205889713
58,224,114,,120.468683908867,,6.46868390886701
59,225,114,,120.166151016891,,6.16615101689058
60,223,114,,120.770894256203,,6.77089425620252
61,221,114,,121.374347316951,,7.37434731695085
62,220,114,,121.675590030364,,7.67559003036365
63,223,114,,120.770894256203,,6.77089425620252
64,219,114,,121.976510199136,,7.97651019913556
65,225,114,,120.166151016891,,6.16615101689058
66,221,114,,121.374347316951,,7.37434731695085
67,217,114,,122.577382902757,,8.57738290275665
68,215,114,,123.176965427814,,9.17696542781411
69,224,114,,120.468683908867,,6.46868390886701
70,221,114,,121.374347316951,,7.37434731695085
71,252,126,,111.875841059265,,-14.1241589407346
72,256,126,,110.627649223733,,-15.372350776267
73,252,126,,111.875841059265,,-14.1241589407346
74,253,126,,111.564276917344,,-14.4357230826564
75,254,126,,111.252390230781,,-14.747609769219
76,255,126,,110.940180999577,,-15.0598190004226
77,258,126,,110.001618038121,,-15.9983819618786
78,260,126,,109.374296673946,,-16.6257033260539
79,263,126,,108.430895542877,,-17.5691044571235
80,260,126,,109.374296673946,,-16.6257033260539
81,264,126,,108.115783409905,,-17.8842165900952
82,260,126,,109.374296673946,,-16.6257033260539
83,254,126,,111.252390230781,,-14.747609769219
84,251,126,,112.187082656546,,-13.8129173434538
85,257,126,,110.314794903248,,-15.6852050967524
86,262,126,,108.745685131207,,-17.2543148687927
87,258,126,,110.001618038121,,-15.9983819618786
88,259,126,,109.688118628354,,-16.3118813716458
89,265,126,,107.800348732292,,-18.1996512677078
90,271,126,,105.900967229158,,-20.0990327708423
91,80,160,,160.666054302432,,0.666054302431917
92,78,160,,161.177259595882,,1.17725959588165
93,80,160,,160.666054302432,,0.666054302431917
94,85,160,,159.382396537592,,-0.617603462408198
95,82,160,,160.153558830419,,0.153558830418575
96,85,160,,159.382396537592,,-0.617603462408198
97,82,160,,160.153558830419,,0.153558830418575
98,88,160,,158.608331342997,,-1.39166865700312
99,85,160,,159.382396537592,,-0.617603462408198
100,81,160,,160.409967838746,,0.4099678387457
101,87,160,,158.866675619169,,-1.13332438083057
102,86,160,,159.124697350701,,-0.875302649298931
103,79,160,,160.921818221477,,0.921818221477224
104,85,160,,159.382396537592,,-0.617603462408198
105,90,160,,158.090675156729,,-1.90932484327095
106,87,160,,158.866675619169,,-1.13332438083057
107,89,160,,158.349664522183,,-1.65033547781658
108,90,160,,158.090675156729,,-1.90932484327095
109,92,160,,157.571728791898,,-2.42827120810236
110,89,160,,158.349664522183,,-1.65033547781658
111,88,160,,158.608331342997,,-1.39166865700312
112,85,160,,159.382396537592,,-0.617603462408198
113,85,160,,159.382396537592,,-0.617603462408198
114,84,160,,159.639773179842,,-0.360226820158374
115,88,160,,158.608331342997,,-1.39166865700312
116,93,160,,157.311771792521,,-2.68822820747943
117,85,160,,159.382396537592,,-0.617603462408198
118,78,160,,161.177259595882,,1.17725959588165
119,82,160,,160.153558830419,,0.153558830418575
120,84,160,,159.639773179842,,-0.360226820158374
121,83,160,,159.896827277451,,-0.103172722549459
122,88,160,,158.608331342997,,-1.39166865700312
123,81,160,,160.409967838746,,0.4099678387457
124,84,160,,159.639773179842,,-0.360226820158374
125,82,160,,160.153558830419,,0.153558830418575
126,84,160,,159.639773179842,,-0.360226820158374
,,,,,,
,,,,,,9.02276489854095E-14
